what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.validation,1.2.6.v200902121900,org.eclipse.wst.validation,1238541473722
started,bundle,org.eclipse.wst.web,1.1.206.v200812100430,org.eclipse.wst.web,1238541473723
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.2.v200809031518,org.eclipse.wst.ws.service.policy.ui,1238541473723
started,bundle,org.eclipse.wst.xml.core,1.1.307.v200812040936,org.eclipse.wst.xml.core,1238541473728
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1238541499787
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1238541499792
closed,view,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.internal.introview,1238541499800
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.203.v200901290400,org.eclipse.jst.j2ee.navigator.ui,1238541511075
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1238541526765
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1238541528594
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.edit.text.openLocalFile,1238541528617
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1238541529751
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1238541562495
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1238541564760
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1238541575885
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1238541577065
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1238541587144
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1238541590157
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1238541593317
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.newWizard,1238541593340
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1238541599446
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1238541664003
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1238541664031
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1238541669276
started,bundle,org.eclipse.debug.core,3.4.1.v20090106_r342,org.eclipse.debug.core,1238541675034
